,Year,Name,Age,Team,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,Pos
2720,2000,Jean-Sebastien Aubin,22,PIT,51,,23.0,21.0,3.0,120,1392.0,1272.0,0.914,2.58,2,9.9,2789,,,,90.0,13.09,0,1.0,1.0,2.0,G
2721,2000,Tom Barrasso,34,PIT,18,,5.0,7.0,2.0,46,386.0,340.0,0.881,3.17,1,1.4,870,,,,125.0,-9.1,0,0.0,0.0,6.0,G
2722,2000,Tom Barrasso,34,OTT,7,,3.0,4.0,0.0,22,182.0,160.0,0.879,3.16,0,0.6,418,,,,,,0,0.0,0.0,0.0,G
2723,2000,Ed Belfour,34,DAL,62,,32.0,21.0,7.0,127,1571.0,1444.0,0.919,2.1,4,12.1,3620,,,,85.0,23.2,0,3.0,3.0,10.0,G
2724,2000,Zac Bierk,23,TBL,12,,4.0,4.0,1.0,31,308.0,277.0,0.899,3.66,0,1.7,509,,,,,,0,1.0,1.0,0.0,G
2725,2000,Craig Billington,33,WSH,13,,3.0,6.0,1.0,28,310.0,282.0,0.91,2.75,2,2.1,611,,,,,,0,0.0,0.0,0.0,G
2726,2000,Martin Biron,22,BUF,41,,19.0,18.0,2.0,90,988.0,898.0,0.909,2.42,5,6.5,2229,,,,95.0,4.46,0,0.0,0.0,6.0,G
2727,2000,Brian Boucher,23,PHI,35,,20.0,10.0,3.0,65,790.0,725.0,0.918,1.91,4,6.0,2038,,,,86.0,10.53,0,1.0,1.0,4.0,G
2728,2000,Fred Brathwaite,27,CGY,61,,25.0,25.0,7.0,158,1664.0,1506.0,0.905,2.75,5,10.3,3448,,,,99.0,1.09,0,0.0,0.0,4.0,G
2729,2000,Martin Brodeur,27,NJD,72,,43.0,20.0,8.0,161,1797.0,1636.0,0.91,2.24,6,12.1,4312,,,,94.0,10.81,1,4.0,5.0,16.0,G
2730,2000,Sean Burke,33,PHX,35,,17.0,14.0,3.0,88,1022.0,934.0,0.914,2.55,3,7.3,2074,,,,90.0,9.71,0,0.0,0.0,10.0,G
2731,2000,Sean Burke,33,FLA,7,,2.0,5.0,0.0,18,208.0,190.0,0.913,2.58,0,1.5,418,,,,,,0,0.0,0.0,2.0,G
2732,2000,Dan Cloutier,23,TBL,52,,9.0,30.0,3.0,145,1258.0,1113.0,0.885,3.44,0,5.0,2492,,,,121.0,-24.72,0,0.0,0.0,29.0,G
2733,2000,Marcel Cousineau,26,LAK,5,,1.0,1.0,0.0,6,64.0,58.0,0.906,2.11,0,0.4,171,,,,,,0,0.0,0.0,0.0,G
2734,2000,Byron Dafoe,28,BOS,41,,13.0,16.0,10.0,114,1030.0,916.0,0.889,2.97,3,4.6,2307,,,,116.0,-15.52,0,0.0,0.0,0.0,G
2735,2000,Marc Denis,22,COL,23,,9.0,8.0,3.0,51,618.0,567.0,0.917,2.54,3,4.6,1203,,,,86.0,8.09,0,2.0,2.0,6.0,G
2736,2000,Mike Dunham,27,NSH,52,,19.0,27.0,6.0,146,1584.0,1438.0,0.908,2.85,0,10.2,3077,,,,96.0,5.44,0,0.0,0.0,6.0,G
2737,2000,Robert Esche,22,PHX,8,,2.0,5.0,0.0,23,215.0,192.0,0.893,3.38,0,1.0,408,,,,,,0,0.0,0.0,4.0,G
2738,2000,Bob Essensa,35,PHX,30,,13.0,10.0,3.0,73,719.0,646.0,0.898,2.78,1,3.9,1573,,,,106.0,-4.26,0,0.0,0.0,0.0,G
2739,2000,Scott Fankhouser,24,ATL,16,,2.0,11.0,2.0,49,451.0,402.0,0.891,3.2,0,2.1,920,,,,114.0,-5.88,0,0.0,0.0,4.0,G
2740,2000,Manny Fernandez,25,DAL,24,,11.0,8.0,3.0,48,603.0,555.0,0.92,2.13,1,4.7,1353,,,,83.0,9.65,0,2.0,2.0,2.0,G
2741,2000,Eric Fichaud,24,CAR,9,,3.0,5.0,1.0,24,206.0,182.0,0.883,2.94,1,0.8,490,,,,,,0,0.0,0.0,2.0,G
2742,2000,Stephane Fiset,29,LAK,47,,20.0,15.0,7.0,119,1208.0,1089.0,0.901,2.73,1,7.0,2592,,,,103.0,-3.51,0,2.0,2.0,4.0,G
2743,2000,Mark Fitzpatrick,31,CAR,3,,0.0,2.0,0.0,8,68.0,60.0,0.882,4.48,0,0.3,107,,,,,,0,0.0,0.0,0.0,G
2744,2000,Wade Flaherty,32,NYI,4,,0.0,1.0,1.0,7,81.0,74.0,0.914,2.31,0,0.6,182,,,,,,0,0.0,0.0,0.0,G
2745,2000,Mike Fountain,28,OTT,1,,0.0,0.0,0.0,1,6.0,5.0,0.833,3.87,0,0.0,16,,,,,,0,0.0,0.0,0.0,G
2746,2000,Grant Fuhr,37,CGY,23,,5.0,13.0,2.0,77,536.0,459.0,0.856,3.83,0,0.5,1205,,,,150.0,-25.75,0,0.0,0.0,2.0,G
2747,2000,Jean-Sebastien Giguere,22,CGY,7,,1.0,3.0,1.0,15,175.0,160.0,0.914,2.72,0,1.3,330,,,,,,0,0.0,0.0,2.0,G
2748,2000,John Grahame,24,BOS,24,,7.0,10.0,5.0,55,609.0,554.0,0.91,2.46,2,4.1,1344,,,,94.0,3.23,0,1.0,1.0,8.0,G
2749,2000,Jeff Hackett,31,MTL,56,,23.0,25.0,7.0,132,1543.0,1411.0,0.914,2.4,3,11.1,3301,,,,89.0,15.52,0,0.0,0.0,4.0,G
2750,2000,Dominik Hasek,35,BUF,35,,15.0,11.0,6.0,76,937.0,861.0,0.919,2.21,3,7.2,2066,,,,85.0,13.58,0,1.0,1.0,12.0,G
2751,2000,Glenn Healy,37,TOR,20,,9.0,10.0,0.0,59,527.0,468.0,0.888,3.04,2,2.3,1164,,,,117.0,-8.61,0,1.0,1.0,2.0,G
2752,2000,Guy Hebert,33,MDA,68,,28.0,31.0,9.0,166,1805.0,1639.0,0.908,2.51,4,11.7,3976,,,,96.0,6.57,0,2.0,2.0,2.0,G
2753,2000,Milan Hnilicka,26,NYR,2,,0.0,1.0,0.0,5,44.0,39.0,0.886,3.48,0,0.2,86,,,,,,0,0.0,0.0,0.0,G
2754,2000,Kevin Hodson,27,TBL,24,,2.0,7.0,4.0,47,327.0,280.0,0.856,3.67,0,0.3,769,,,,,,0,0.0,0.0,2.0,G
2755,2000,Jani Hurme,25,OTT,1,,1.0,0.0,0.0,2,19.0,17.0,0.895,2.0,0,0.1,60,,,,,,0,0.0,0.0,0.0,G
2756,2000,Arturs Irbe,32,CAR,75,,34.0,28.0,9.0,175,1858.0,1683.0,0.906,2.42,5,11.6,4345,,,,99.0,2.64,0,1.0,1.0,14.0,G
2757,2000,Curtis Joseph,32,TOR,63,,36.0,20.0,7.0,158,1854.0,1696.0,0.915,2.49,4,13.4,3801,,,,89.0,19.26,0,1.0,1.0,14.0,G
2758,2000,Trevor Kidd,27,FLA,28,,14.0,11.0,2.0,69,809.0,740.0,0.915,2.63,1,5.8,1574,,,,89.0,8.35,0,0.0,0.0,0.0,G
2759,2000,Dieter Kochan,25,TBL,5,,1.0,4.0,0.0,17,111.0,94.0,0.847,4.28,0,0.0,238,,,,,,0,0.0,0.0,0.0,G
2760,2000,Olaf Kolzig,29,WSH,73,,41.0,20.0,11.0,163,1957.0,1794.0,0.917,2.24,5,14.6,4371,,,,87.0,24.11,0,2.0,2.0,6.0,G
2761,2000,Jean-Francois Labbe,27,NYR,1,,0.0,1.0,0.0,3,22.0,19.0,0.864,3.0,0,0.0,60,,,,,,0,0.0,0.0,0.0,G
2762,2000,Patrick Lalime,25,OTT,38,,19.0,14.0,3.0,79,834.0,755.0,0.905,2.33,3,5.2,2038,,,,99.0,0.74,0,0.0,0.0,4.0,G
2763,2000,Marc Lamothe,25,CHI,2,,1.0,1.0,0.0,10,50.0,40.0,0.8,5.16,0,-0.3,116,,,,,,0,0.0,0.0,0.0,G
2764,2000,Scott Langkow,24,ATL,15,,3.0,11.0,0.0,55,395.0,340.0,0.861,4.31,0,0.5,765,,,,146.0,-17.23,0,0.0,0.0,0.0,G
2765,2000,Manny Legace,26,DET,4,,4.0,0.0,0.0,11,117.0,106.0,0.906,2.75,0,0.7,240,,,,,,0,0.0,0.0,0.0,G
2766,2000,Roberto Luongo,20,NYI,24,,7.0,14.0,1.0,70,730.0,660.0,0.904,3.25,1,4.4,1292,,,,100.0,-0.21,0,0.0,0.0,0.0,G
2767,2000,Norm Maracle,25,ATL,32,,4.0,19.0,2.0,94,852.0,758.0,0.89,3.49,1,3.8,1618,,,,115.0,-12.54,0,0.0,0.0,0.0,G
2768,2000,Kirk McLean,33,NYR,22,,7.0,8.0,4.0,58,558.0,500.0,0.896,2.94,0,2.9,1206,,,,109.0,-4.65,0,1.0,1.0,2.0,G
2769,2000,Jamie McLennan,28,STL,19,,9.0,5.0,2.0,33,341.0,308.0,0.903,1.96,2,2.0,1009,,,,101.0,-0.4,0,0.0,0.0,2.0,G
2770,2000,Alfie Michaud,23,VAN,2,,0.0,1.0,0.0,5,27.0,22.0,0.815,4.32,0,-0.1,69,,,,,,0,0.0,0.0,0.0,G
2771,2000,Mike Minard,23,EDM,1,,1.0,0.0,0.0,3,36.0,33.0,0.917,3.0,0,0.3,60,,,,,,0,0.0,0.0,0.0,G
2772,2000,Evgeni Nabokov,24,SJS,11,,2.0,2.0,1.0,15,166.0,151.0,0.91,2.17,1,1.1,414,,,,,,0,0.0,0.0,0.0,G
2773,2000,Chris Osgood,27,DET,53,,30.0,14.0,8.0,126,1349.0,1223.0,0.907,2.4,6,8.5,3148,,,,98.0,2.98,0,1.0,1.0,18.0,G
2774,2000,Rich Parent,27,TBL,14,,2.0,7.0,1.0,43,353.0,310.0,0.878,3.7,0,1.1,698,,,,127.0,-9.25,0,0.0,0.0,2.0,G
2775,2000,Steve Passmore,27,CHI,24,,7.0,12.0,3.0,63,654.0,591.0,0.904,2.72,1,3.9,1388,,,,101.0,-0.47,0,0.0,0.0,9.0,G
2776,2000,Felix Potvin,28,VAN,34,,12.0,13.0,7.0,85,906.0,821.0,0.906,2.51,0,5.7,1966,,,,98.0,1.62,0,2.0,2.0,2.0,G
2777,2000,Felix Potvin,28,NYI,22,,5.0,14.0,3.0,68,632.0,564.0,0.892,3.21,1,3.0,1273,,,,113.0,-7.58,0,0.0,0.0,2.0,G
2778,2000,Daren Puppa,34,TBL,5,,1.0,2.0,0.0,19,129.0,110.0,0.853,4.58,0,0.1,249,,,,,,0,0.0,0.0,2.0,G
2779,2000,Bill Ranford,33,EDM,16,,4.0,6.0,3.0,47,407.0,360.0,0.885,3.59,0,1.6,785,,,,121.0,-8.09,0,0.0,0.0,2.0,G
2780,2000,Damian Rhodes,30,ATL,28,,5.0,19.0,3.0,101,803.0,702.0,0.874,3.88,1,2.2,1561,,,,132.0,-24.23,0,0.0,0.0,2.0,G
2781,2000,Mike Richter,33,NYR,61,,22.0,31.0,8.0,173,1815.0,1642.0,0.905,2.87,0,11.1,3622,,,,100.0,0.53,0,0.0,0.0,4.0,G
2782,2000,Dwayne Roloson,30,BUF,14,,1.0,7.0,3.0,32,277.0,245.0,0.884,2.84,0,1.1,677,,,,,,0,0.0,0.0,0.0,G
2783,2000,Dominic Roussel,29,MDA,20,,6.0,5.0,3.0,52,445.0,393.0,0.883,3.16,1,1.7,988,,,,122.0,-9.45,0,0.0,0.0,6.0,G
2784,2000,Patrick Roy,34,COL,63,,32.0,21.0,8.0,141,1640.0,1499.0,0.914,2.28,2,11.7,3704,,,,90.0,15.8,0,3.0,3.0,10.0,G
2785,2000,Tommy Salo,28,EDM,70,,27.0,28.0,13.0,162,1875.0,1713.0,0.914,2.33,2,13.3,4164,,,,90.0,17.27,0,1.0,1.0,8.0,G
2786,2000,Corey Schwab,29,VAN,6,,2.0,1.0,1.0,16,115.0,99.0,0.861,3.57,0,0.2,269,,,,,,0,0.0,0.0,2.0,G
2787,2000,Steve Shields,27,SJS,67,,27.0,30.0,8.0,162,1826.0,1664.0,0.911,2.56,4,12.5,3797,,,,93.0,12.58,0,1.0,1.0,29.0,G
2788,2000,Mikhail Shtalenkov,34,PHX,15,,7.0,6.0,2.0,36,370.0,334.0,0.903,2.39,2,2.2,904,,,,102.0,-0.62,0,3.0,3.0,2.0,G
2789,2000,Mikhail Shtalenkov,34,FLA,15,,8.0,4.0,2.0,34,369.0,335.0,0.908,2.31,0,2.4,882,,,,96.0,1.28,0,0.0,0.0,2.0,G
2790,2000,Richard Shulmistra,28,FLA,1,,1.0,0.0,0.0,1,21.0,20.0,0.952,1.0,0,0.2,60,,,,,,0,0.0,0.0,0.0,G
2791,2000,Peter Skudra,26,PIT,20,,5.0,7.0,3.0,48,374.0,326.0,0.872,3.19,1,0.9,922,,,,134.0,-12.24,0,0.0,0.0,0.0,G
2792,2000,Garth Snow,30,VAN,32,,10.0,15.0,3.0,76,775.0,699.0,0.902,2.68,0,4.5,1712,,,,103.0,-1.9,0,2.0,2.0,8.0,G
2793,2000,Jamie Storr,24,LAK,42,,18.0,15.0,5.0,93,1008.0,915.0,0.908,2.55,1,6.5,2206,,,,96.0,3.37,0,1.0,1.0,4.0,G
2794,2000,Rick Tabaracci,31,COL,2,,1.0,0.0,0.0,2,18.0,16.0,0.889,1.99,0,0.1,60,,,,,,0,0.0,0.0,0.0,G
2795,2000,Rick Tabaracci,31,ATL,1,,0.0,1.0,0.0,4,32.0,28.0,0.875,4.07,0,0.1,59,,,,,,0,0.0,0.0,0.0,G
2796,2000,Robbie Tallas,26,BOS,27,,4.0,13.0,4.0,72,628.0,556.0,0.885,3.17,0,2.5,1363,,,,120.0,-11.96,0,0.0,0.0,6.0,G
2797,2000,Chris Terreri,35,NJD,12,,2.0,9.0,0.0,37,299.0,262.0,0.876,3.42,0,0.9,649,,,,,,0,0.0,0.0,2.0,G
2798,2000,Jose Theodore,23,MTL,30,,12.0,13.0,2.0,58,717.0,659.0,0.919,2.1,5,5.5,1655,,,,85.0,10.55,0,0.0,0.0,0.0,G
2799,2000,Jocelyn Thibault,25,CHI,60,,25.0,26.0,7.0,158,1679.0,1521.0,0.906,2.76,3,10.5,3438,,,,98.0,2.53,0,0.0,0.0,2.0,G
2800,2000,Ron Tugnutt,32,OTT,44,,18.0,12.0,8.0,103,1020.0,917.0,0.899,2.54,4,5.6,2435,,,,106.0,-5.48,0,0.0,0.0,0.0,G
2801,2000,Ron Tugnutt,32,PIT,7,,4.0,2.0,0.0,15,197.0,182.0,0.924,2.4,0,1.6,374,,,,,,0,0.0,0.0,0.0,G
2802,2000,Roman Turek,29,STL,67,,42.0,15.0,9.0,129,1470.0,1341.0,0.912,1.95,7,10.2,3960,,,,92.0,11.54,0,1.0,1.0,4.0,G
2803,2000,Steve Valiquette,22,NYI,6,,2.0,0.0,0.0,6,117.0,111.0,0.949,1.87,0,1.3,193,,,,,,0,0.0,0.0,0.0,G
2804,2000,John Vanbiesbrouck,36,PHI,50,,25.0,15.0,9.0,108,1143.0,1035.0,0.906,2.2,3,7.1,2950,,,,99.0,1.28,0,1.0,1.0,6.0,G
2805,2000,Mike Vernon,36,FLA,34,,18.0,13.0,2.0,83,1020.0,937.0,0.919,2.54,1,7.8,2019,,,,85.0,14.52,0,3.0,3.0,2.0,G
2806,2000,Mike Vernon,36,SJS,15,,6.0,5.0,1.0,32,360.0,328.0,0.911,2.49,0,2.5,772,,,,93.0,2.42,0,0.0,0.0,0.0,G
2807,2000,Tomas Vokoun,23,NSH,33,,9.0,20.0,1.0,87,908.0,821.0,0.904,2.78,1,5.5,1879,,,,100.0,-0.19,0,1.0,1.0,8.0,G
2808,2000,Kevin Weekes,24,NYI,36,,10.0,20.0,4.0,115,1173.0,1058.0,0.902,3.51,1,6.8,2026,,,,103.0,-2.85,0,1.0,1.0,0.0,G
2809,2000,Kevin Weekes,24,VAN,20,,6.0,7.0,4.0,47,461.0,414.0,0.898,2.85,1,2.5,987,,,,107.0,-2.92,0,0.0,0.0,0.0,G
2810,2000,Ken Wregget,35,DET,29,,14.0,10.0,2.0,70,700.0,630.0,0.9,2.66,0,3.9,1579,,,,105.0,-3.07,0,1.0,1.0,0.0,G
2811,2001,David Aebischer,22,COL,26,,12.0,7.0,3.0,52,538.0,486.0,0.903,2.24,3,3.3,1393,,,,100.0,0.04,0,1.0,1.0,0.0,G
2812,2001,Jean-Sebastien Aubin,23,PIT,36,,20.0,14.0,1.0,107,973.0,866.0,0.89,3.33,0,4.6,2050,,,,114.0,-12.87,0,1.0,1.0,4.0,G
2813,2001,Ed Belfour,35,DAL,63,,35.0,20.0,7.0,144,1508.0,1364.0,0.905,2.34,8,9.5,3687,,,,99.0,1.88,0,1.0,1.0,4.0,G
2814,2001,Zac Bierk,24,MIN,1,,0.0,1.0,0.0,6,27.0,21.0,0.778,6.0,0,-0.2,60,,,,,,0,0.0,0.0,2.0,G
2815,2001,Craig Billington,34,WSH,12,,3.0,5.0,2.0,27,317.0,290.0,0.915,2.45,0,2.3,660,,,,,,0,1.0,1.0,0.0,G
2816,2001,Martin Biron,23,BUF,18,,7.0,7.0,1.0,39,427.0,388.0,0.909,2.55,2,2.9,918,,,,94.0,2.31,0,0.0,0.0,0.0,G
2817,2001,Brian Boucher,24,PHI,27,,8.0,12.0,5.0,80,644.0,564.0,0.876,3.27,1,2.0,1470,,,,128.0,-17.7,0,0.0,0.0,2.0,G
2818,2001,Fred Brathwaite,28,CGY,49,,15.0,17.0,10.0,106,1181.0,1075.0,0.91,2.32,5,8.1,2742,,,,93.0,8.25,0,1.0,1.0,2.0,G
2819,2001,Martin Brodeur,28,NJD,72,,42.0,17.0,11.0,166,1762.0,1596.0,0.906,2.32,9,11.3,4297,,,,97.0,4.45,0,1.0,1.0,14.0,G
2820,2001,Sean Burke,34,PHX,62,,25.0,22.0,13.0,138,1767.0,1629.0,0.922,2.27,4,14.4,3644,,,,81.0,32.84,0,1.0,1.0,16.0,G
2821,2001,Roman Cechmanek,29,PHI,59,,35.0,15.0,6.0,115,1464.0,1349.0,0.921,2.01,10,11.9,3431,,,,81.0,26.62,0,1.0,1.0,4.0,G
2822,2001,Dan Cloutier,24,TBL,24,,3.0,13.0,3.0,59,541.0,482.0,0.891,3.52,1,2.6,1005,,,,113.0,-6.66,0,0.0,0.0,4.0,G
2823,2001,Dan Cloutier,24,VAN,16,,4.0,6.0,5.0,37,348.0,311.0,0.894,2.43,0,1.8,914,,,,110.0,-3.34,0,0.0,0.0,0.0,G
2824,2001,Byron Dafoe,29,BOS,45,,22.0,14.0,7.0,101,1076.0,975.0,0.906,2.39,2,6.9,2536,,,,97.0,3.09,0,2.0,2.0,6.0,G
2825,2001,Marc Denis,23,CBJ,32,,6.0,20.0,4.0,99,940.0,841.0,0.895,3.25,0,4.9,1830,,,,109.0,-8.07,0,0.0,0.0,2.0,G
2826,2001,Rick DiPietro,19,NYI,20,,3.0,15.0,1.0,63,515.0,452.0,0.878,3.49,0,1.7,1083,,,,126.0,-13.18,0,2.0,2.0,6.0,G
2827,2001,Mike Dunham,28,NSH,48,,21.0,21.0,4.0,107,1381.0,1274.0,0.923,2.33,4,11.4,2810,,,,80.0,26.59,0,0.0,0.0,2.0,G
2828,2001,Robert Esche,23,PHX,25,,10.0,8.0,4.0,68,657.0,589.0,0.896,3.02,2,3.5,1350,,,,107.0,-4.44,0,3.0,3.0,2.0,G
2829,2001,Bob Essensa,36,VAN,39,,18.0,12.0,3.0,92,854.0,762.0,0.892,2.68,1,4.2,2059,,,,111.0,-9.39,0,0.0,0.0,4.0,G
2830,2001,Scott Fankhouser,25,ATL,7,,2.0,1.0,0.0,16,160.0,144.0,0.9,3.44,0,0.9,260,,,,,,0,0.0,0.0,2.0,G
2831,2001,Manny Fernandez,26,MIN,42,,19.0,17.0,4.0,92,1147.0,1055.0,0.92,2.24,4,9.1,2461,,,,83.0,18.96,0,0.0,0.0,6.0,G
2832,2001,Eric Fichaud,25,MTL,2,,0.0,2.0,0.0,4,32.0,28.0,0.875,3.89,0,0.1,62,,,,,,0,0.0,0.0,0.0,G
2833,2001,Stephane Fiset,30,LAK,7,,3.0,0.0,1.0,19,129.0,110.0,0.853,3.58,0,0.1,318,,,,,,0,0.0,0.0,2.0,G
2834,2001,Wade Flaherty,33,NYI,20,,6.0,10.0,0.0,56,470.0,414.0,0.881,3.3,1,1.7,1017,,,,123.0,-10.53,0,0.0,0.0,2.0,G
2835,2001,Wade Flaherty,33,TBL,2,,0.0,2.0,0.0,8,55.0,47.0,0.855,4.07,0,0.0,118,,,,,,0,0.0,0.0,0.0,G
2836,2001,Mike Fountain,29,OTT,1,,0.0,1.0,0.0,3,25.0,22.0,0.88,3.07,0,0.1,59,,,,,,0,0.0,0.0,0.0,G
2837,2001,Joaquin Gage,27,EDM,5,,2.0,2.0,0.0,15,125.0,110.0,0.88,3.46,0,0.5,260,,,,,,0,0.0,0.0,0.0,G
2838,2001,Mathieu Garon,23,MTL,11,,4.0,5.0,1.0,24,233.0,209.0,0.897,2.44,2,1.3,589,,,,,,0,0.0,0.0,0.0,G
2839,2001,Jean-Sebastien Giguere,23,MDA,34,,11.0,17.0,5.0,87,976.0,889.0,0.911,2.57,4,6.8,2031,,,,92.0,7.42,0,2.0,2.0,8.0,G
2840,2001,John Grahame,25,BOS,10,,3.0,4.0,0.0,28,211.0,183.0,0.867,3.57,0,0.5,471,,,,,,0,0.0,0.0,2.0,G
2841,2001,Derek Gustafson,21,MIN,4,,1.0,3.0,0.0,10,97.0,87.0,0.897,2.51,0,0.5,239,,,,,,0,0.0,0.0,0.0,G
2842,2001,Jeff Hackett,32,MTL,19,,4.0,10.0,2.0,54,477.0,423.0,0.887,3.25,0,2.1,998,,,,117.0,-7.86,0,1.0,1.0,0.0,G
2843,2001,Dominik Hasek,36,BUF,67,,37.0,24.0,4.0,137,1726.0,1589.0,0.921,2.11,11,13.9,3904,,,,82.0,29.97,0,3.0,3.0,22.0,G
2844,2001,Glenn Healy,38,TOR,15,,4.0,7.0,3.0,38,331.0,293.0,0.885,2.62,0,1.4,871,,,,119.0,-5.98,0,0.0,0.0,0.0,G
2845,2001,Guy Hebert,34,MDA,41,,12.0,23.0,4.0,115,1112.0,997.0,0.897,3.11,2,6.0,2215,,,,107.0,-7.43,0,0.0,0.0,0.0,G
2846,2001,Guy Hebert,34,NYR,13,,5.0,7.0,1.0,42,409.0,367.0,0.897,3.43,0,2.2,735,,,,106.0,-2.43,0,0.0,0.0,0.0,G
2847,2001,Johan Hedberg,27,PIT,9,,7.0,1.0,1.0,24,253.0,229.0,0.905,2.64,0,1.6,545,,,,,,0,0.0,0.0,0.0,G
2848,2001,Corey Hirsch,28,WSH,1,,1.0,0.0,0.0,0,8.0,8.0,1.0,0.0,0,0.1,20,,,,,,0,0.0,0.0,0.0,G
2849,2001,Milan Hnilicka,27,ATL,36,,12.0,19.0,2.0,105,951.0,846.0,0.89,3.41,2,4.4,1879,,,,114.0,-13.0,0,0.0,0.0,4.0,G
2850,2001,Johan Holmqvist,22,NYR,2,,0.0,2.0,0.0,10,71.0,61.0,0.859,5.05,0,0.1,119,,,,,,0,0.0,0.0,2.0,G
2851,2001,Jani Hurme,26,OTT,22,,12.0,5.0,4.0,54,563.0,509.0,0.904,2.5,2,3.5,1296,,,,99.0,0.46,0,0.0,0.0,0.0,G
2852,2001,Arturs Irbe,33,CAR,77,,37.0,29.0,9.0,180,1947.0,1767.0,0.908,2.45,6,12.9,4406,,,,96.0,8.35,0,2.0,2.0,6.0,G
2853,2001,Brent Johnson,23,STL,31,,19.0,9.0,2.0,63,676.0,613.0,0.907,2.17,4,4.4,1744,,,,96.0,2.39,0,0.0,0.0,2.0,G
2854,2001,Curtis Joseph,33,TOR,68,,33.0,27.0,8.0,163,1907.0,1744.0,0.915,2.39,6,14.0,4100,,,,88.0,21.48,0,1.0,1.0,8.0,G
2855,2001,Nikolai Khabibulin,28,TBL,2,,1.0,1.0,0.0,6,69.0,63.0,0.913,2.92,0,0.5,123,,,,,,0,0.0,0.0,0.0,G
2856,2001,Trevor Kidd,28,FLA,42,,10.0,23.0,6.0,130,1217.0,1087.0,0.893,3.31,1,6.1,2354,,,,110.0,-12.27,0,1.0,1.0,6.0,G
2857,2001,Miikka Kiprusoff,24,SJS,5,,2.0,1.0,0.0,5,51.0,46.0,0.902,1.94,0,0.3,154,,,,,,0,0.0,0.0,0.0,G
2858,2001,Dieter Kochan,26,TBL,10,,0.0,3.0,0.0,18,138.0,120.0,0.87,3.44,0,0.3,314,,,,,,0,0.0,0.0,0.0,G
2859,2001,Olaf Kolzig,30,WSH,72,,37.0,26.0,8.0,177,1941.0,1764.0,0.909,2.48,5,13.1,4279,,,,94.0,10.77,0,2.0,2.0,14.0,G
2860,2001,Evgeny Konstantinov,19,TBL,1,,0.0,0.0,0.0,0,0.0,0.0,,0.0,0,0.0,1,,,,,,0,0.0,0.0,0.0,G
2861,2001,Jason LaBarbera,21,NYR,1,,0.0,0.0,0.0,0,2.0,2.0,1.0,0.0,0,0.0,10,,,,,,0,0.0,0.0,0.0,G
2862,2001,Patrick Lalime,26,OTT,60,,36.0,19.0,5.0,141,1640.0,1499.0,0.914,2.35,7,12.0,3607,,,,89.0,17.65,0,1.0,1.0,2.0,G
2863,2001,Michel Larocque,24,CHI,3,,0.0,2.0,0.0,9,59.0,50.0,0.847,3.55,0,0.0,152,,,,,,0,0.0,0.0,0.0,G
2864,2001,Manny Legace,27,DET,39,,24.0,5.0,5.0,73,909.0,836.0,0.92,2.05,2,7.2,2136,,,,83.0,14.93,0,2.0,2.0,4.0,G
2865,2001,Roberto Luongo,21,FLA,47,,12.0,24.0,7.0,107,1333.0,1226.0,0.92,2.44,5,10.6,2628,,,,83.0,21.95,0,0.0,0.0,2.0,G
2866,2001,Norm Maracle,26,ATL,13,,2.0,8.0,3.0,43,406.0,363.0,0.894,3.43,0,2.1,753,,,,109.0,-3.72,0,0.0,0.0,0.0,G
2867,2001,Chris Mason,24,NSH,1,,0.0,1.0,0.0,2,20.0,18.0,0.9,2.05,0,0.1,59,,,,,,0,0.0,0.0,0.0,G
2868,2001,Kirk McLean,34,NYR,23,,8.0,10.0,1.0,71,639.0,568.0,0.889,3.49,0,2.9,1220,,,,115.0,-9.18,0,0.0,0.0,0.0,G
2869,2001,Jamie McLennan,29,MIN,38,,5.0,23.0,9.0,98,1032.0,934.0,0.905,2.64,2,6.5,2230,,,,98.0,1.83,0,1.0,1.0,4.0,G
2870,2001,Tyler Moss,25,CAR,12,,1.0,6.0,0.0,37,251.0,214.0,0.853,3.99,0,0.2,557,,,,,,0,0.0,0.0,0.0,G
2871,2001,Evgeni Nabokov,25,SJS,66,,32.0,21.0,7.0,135,1582.0,1447.0,0.915,2.19,6,11.7,3700,,,,88.0,18.04,0,2.0,2.0,8.0,G
2872,2001,Gregg Naumenko,23,MDA,2,,0.0,1.0,0.0,7,29.0,22.0,0.759,5.99,0,-0.3,70,,,,,,0,0.0,0.0,2.0,G
2873,2001,Mika Noronen,21,BUF,2,,2.0,0.0,0.0,5,39.0,34.0,0.872,2.77,0,0.1,108,,,,,,0,0.0,0.0,0.0,G
2874,2001,Chris Osgood,28,DET,52,,25.0,19.0,4.0,127,1310.0,1183.0,0.903,2.69,1,8.0,2834,,,,100.0,-0.27,0,0.0,0.0,8.0,G
2875,2001,Maxime Ouellet,19,PHI,2,,0.0,1.0,0.0,3,27.0,24.0,0.889,2.38,0,0.1,76,,,,,,0,0.0,0.0,0.0,G
2876,2001,Rich Parent,28,PIT,7,,1.0,1.0,3.0,17,150.0,133.0,0.887,3.08,0,0.6,332,,,,,,0,0.0,0.0,0.0,G
2877,2001,Steve Passmore,28,LAK,14,,3.0,8.0,1.0,37,310.0,273.0,0.881,3.09,1,1.1,718,,,,,,0,0.0,0.0,0.0,G
